id,inc,complex,inc_clean
NCT04853277,Any patient with an underlying hematologic disease planning to undergo an autologous or allogeneic hematopoietic stem cell transplant (HSCT) or chimeric antigen receptor T-cell (CAR-T) therapy at Dartmouth-Hitchcock Medical Center is eligible.,1,Any patient with an underlying hematologic disease planning to undergo an autologous or allogeneic hematopoietic stem cell transplant (HSCT) or chimeric antigen receptor T-cell (CAR-T) therapy at Dartmouth-Hitchcock Medical Center is eligible.
NCT05106946,"Age 18-70 years old, no gender and race limited;",1,"Age 18-70 years old, no gender and race limited"
NCT03344705,"Ages Eligible for Study: 4 Years to 75 Years   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 4 Years to 75 Years (Child, Adult, Older Adult)"
NCT03098355,Relapsed or refractory CD19+ B-cell lymphoma or leukemia.,0,Relapsed or refractory CD19+ B-cell lymphoma or leukemia.
NCT03356782,Age: ≥ 18 and ≤65 years of age at the time of enrollment;,0,Age: ≥ 18 and ≤65 years of age at the time of enrollment
NCT05633615,STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): ANC >= 1.0 x 10^3/uL and participants must not have received myeloid growth factor within 72 hours prior to this lab being drawn (within 14 days prior to step 3 crossover registration),1,STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): ANC >= 1.0 x 10^3/uL and participants must not have received myeloid growth factor within 72 hours prior to this lab being drawn (within 14 days prior to step 3 crossover registration)
NCT05370547,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05243212,"At least 14 days must have elapsed since any prior systemic therapy at the time the subject starts the cyclophosphamide and fludarabine conditioning regimen, and subjects' toxicities must have recovered to a grade 1 or less (except for toxicities such as alopecia or vitiligo).",1,"At least 14 days must have elapsed since any prior systemic therapy at the time the subject starts the cyclophosphamide and fludarabine conditioning regimen, and subjects' toxicities must have recovered to a grade 1 or less (except for toxicities such as alopecia or vitiligo)."
NCT02456350,Patients of both genders must be willing to practice birth control for four months after receiving a lymphodepleting preconditioning regimen；,0,Patients of both genders must be willing to practice birth control for four months after receiving a lymphodepleting preconditioning regimen
NCT02915445,"Ages Eligible for Study: 18 Years to 65 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 65 Years (Adult, Older Adult)"
NCT03029273,Sign an informed consent before undertaking any trial-related activities;,0,Sign an informed consent before undertaking any trial-related activities
NCT04608487,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT03265106,Male and female subjects with CD19+ B cell malignancies in patients with no available curative treatment options (such as autologous or allogeneic SCT) who have limited prognosis (several months to < 2 year survival) with currently available therapies will be enrolled.,1,Male and female subjects with CD19+ B cell malignancies in patients with no available curative treatment options (such as autologous or allogeneic SCT) who have limited prognosis (several months to < 2 year survival) with currently available therapies will be enrolled.
NCT05473221,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02822326,ALT/ AST 《 3x normal,1,ALT/ AST 《 3x normal
NCT04377932,"platelet count > 25,000/microliter (can be transfused)",0,"platelet count > 25,000/microliter (can be transfused)"
NCT04436029,High-risk multiple myeloma patients who complete pre-transplant induction treatment anti- myeloma drug combination (minimum 2 drugs).,0,High-risk multiple myeloma patients who complete pre-transplant induction treatment anti- myeloma drug combination (minimum 2 drugs).
NCT05191472,Have an Eastern Cooperative Oncology Group (ECOG) performance status < 2 (Karnofsky > 60%). Evaluation of ECOG is to be performed within 7 days prior to the start of study treatment.,0,Have an Eastern Cooperative Oncology Group (ECOG) performance status < 2 (Karnofsky > 60%). Evaluation of ECOG is to be performed within 7 days prior to the start of study treatment.
NCT04385173,Lung function: Oxygen (O2) saturation >= 92% on room air and < CTCAE grade 1 dyspnea,1,Lung function: Oxygen (O2) saturation >= 92% on room air and < CTCAE grade 1 dyspnea
NCT03142646,ECOG score ≤2,0,ECOG score ≤2
